,Restaurante,Ciudad,Categoría,Precio_Conver,Precio,Teléfono,Dirección,Reseñas,Valoración,Web,Menú,Email,Imagen,latitude,longitude
692,Panzanella Ristorante,Los Angeles,Italiano,Moderado-Alto,$$$$,+1 818-784-4400,"14928 Ventura Blvd, Los Angeles, CA 91403-3455",71 reviews,4.0,http://www.giacominodrago.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/09/5e/6f/a2/panzanella-ristorante.jpg,34.152232999999995,-118.45837453642179
693,Pat's Restaurant,Los Angeles,Italiano,Moderado-Alto,$$$$,+1 310-205-8705,"9233 W Pico Blvd, Los Angeles, CA 90035-1386",69 reviews,4.0,http://www.patsrestaurantandcatering.com/,http://patsrestaurantandcatering.com/dinnerlunch/,patsrestaurantla@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/08/98/ba/5d/pat-s-restaurant.jpg,34.055337916666666,-118.392277
694,Patina Restaurant,Los Angeles,Italiano,Moderado-Alto,$$$$,+1 213-972-3331,"141 S Grand Ave The Walt Disney Concert Hall, Los Angeles, CA 90012-3034",198 reviews,4.0,http://www.patinagroup.com/patina-restaurant,https://www.patinagroup.com/patina-restaurant/menu,info@patinagroup.com,https://media-cdn.tripadvisor.com/media/photo-s/18/5b/ec/79/full-cocktail-bar-in.jpg,None,None
695,Pecorino,Los Angeles,Italiano,Moderado-Alto,$$$$,+1 310-571-3800,"11604 San Vicente Blvd, Los Angeles, CA 90049-5102",64 reviews,4.0,http://www.pecorinorestaurant.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/04/79/6f/73/pecorino.jpg,34.0734236,-118.3777681
696,Peppone,Los Angeles,Italiano,Moderado-Alto,$$$$,+1 310-476-7379,"11628 Barrington Ct, Los Angeles, CA 90049-2929",52 reviews,4.0,http://www.peppone.com/,https://www.tripadvisor.com/Restaurant_Review-g32655-d348041-Reviews-Peppone-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/04/c6/6a/9a/peppone.jpg,34.06501471428572,-118.46926285714287
697,Petit Trois,Los Angeles,Italiano,Moderado-Alto,$$$$,+1 818-989-2600,"13705 Ventura Blvd Sherman Oaks, Los Angeles, CA 91423-3023",41 reviews,4.0,http://valley.petittrois.com/,No disponible,info@petittrois.com,https://media-cdn.tripadvisor.com/media/photo-s/1a/b7/81/95/20200110-105035-largejpg.jpg,34.1492629,-118.4386981
698,Petit Trois,Los Angeles,Italiano,Moderado-Alto,$$$$,+1 818-989-2600,"13705 Ventura Blvd Sherman Oaks, Los Angeles, CA 91423-3023",41 reviews,4.0,http://valley.petittrois.com/,No disponible,info@petittrois.com,https://media-cdn.tripadvisor.com/media/photo-s/1a/b7/81/95/20200110-105035-largejpg.jpg,34.1492629,-118.4386981
699,Petrossian Restaurant & Boutique,Los Angeles,Italiano,Moderado-Alto,$$$$,+1 310-271-6300,"321 N Robertson Blvd One Bblock North of Beverly Boulevard, West Hollywood, CA 90048-2415",73 reviews,4.0,https://petrossianrestaurants.com/westhollywood,https://www.tripadvisor.com/Restaurant_Review-g33252-d502731-Reviews-Petrossian_Restaurant_Boutique-West_Hollywood_California.html#,wehoassistant@petrossian.com,https://media-cdn.tripadvisor.com/media/photo-s/12/d7/4c/66/boutique-seating.jpg,None,None
700,Rare by Drai's,Los Angeles,Italiano,Moderado-Alto,$$$$,+1 310-360-1525,"8720 W Sunset Blvd, West Hollywood, CA 90069-2206",4 reviews,4.0,No disponible,No disponible,info@rarebydrais.com,https://media-cdn.tripadvisor.com/media/photo-s/06/0e/f8/f3/rare-by-drai-s.jpg,34.0914698,-118.3811134
701,Rossoblu,Los Angeles,Italiano,Moderado-Alto,$$$$,+1 213-749-1099,"1124 San Julian St Between 11th And 12th Street, Los Angeles, CA 90015-4438",73 reviews,4.0,https://www.rossoblula.com/,https://www.rossoblula.com/food,info@rossoblula.com,https://media-cdn.tripadvisor.com/media/photo-s/25/2c/a8/76/rossoblu-mural.jpg,None,None
702,Sfixio,Los Angeles,Italiano,Moderado-Alto,$$$$,+1 310-385-1800,"9737 Santa Monica Blvd, Beverly Hills, CA 90210-4201",90 reviews,4.0,http://www.facebook.com/pages/Sfixio/252151014818262?sk=wall&filter=12,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/17/f3/46/c0/party-venue.jpg,34.068271249220416,-118.4078791066603
703,Tagine,Los Angeles,Italiano,Moderado-Alto,$$$$,+1 310-360-7535,"132 N Robertson Blvd, Beverly Hills, CA 90211-2104",83 reviews,4.0,No disponible,No disponible,info@taginebeverlyhills.com,https://media-cdn.tripadvisor.com/media/photo-s/13/2a/be/b1/couscous-time-tagine.jpg,34.068177346938775,-118.3836102244898
704,Tesse,Los Angeles,Italiano,Moderado-Alto,$$$$,+1 310-360-3866,"8500 W Sunset Blvd, West Hollywood, CA 90069-2332",58 reviews,4.0,https://www.tesserestaurant.com/index.html,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/19/c2/1f/b8/tesse.jpg,34.09339295,-118.37717677046224
705,The Barish,Los Angeles,Italiano,Moderado-Alto,$$$$,+1 323-769-8888,"7000 Hollywood Blvd Located inside the historic Hollywood Roosevelt Hotel, Los Angeles, CA 90028-6003",3 reviews,4.0,No disponible,No disponible,info@thebarish.com,https://media-cdn.tripadvisor.com/media/photo-s/24/bb/33/a4/the-barish-dining-room.jpg,None,None
706,The Cicada Restaurant and Club,Los Angeles,Italiano,Moderado-Alto,$$$$,+1 213-488-9488,"617 S Olive St James Oviatt Building, Los Angeles, CA 90014-1605",82 reviews,4.0,http://www.cicadaclub.com/,https://www.tripadvisor.com/Restaurant_Review-g32655-d364771-Reviews-The_Cicada_Restaurant_and_Club-Los_Angeles_California.html#,service@cicadaclub.com,https://media-cdn.tripadvisor.com/media/photo-s/1a/fd/86/4f/live-and-lively-entertainment.jpg,None,None
707,The Little Door,Los Angeles,Italiano,Moderado-Alto,$$$$,+1 323-951-1210,"8164 W 3rd St, Los Angeles, CA 90048-4309",305 reviews,4.0,http://thelittledoor.com/,No disponible,marketing@thelittledoor.com,https://media-cdn.tripadvisor.com/media/photo-s/0e/8f/d4/cb/grilled-seasonal-fruit.jpg,34.072260794871795,-118.36746792307693
708,The Restaurant at Mr. C,Los Angeles,Italiano,Moderado-Alto,$$$$,+1 310-277-2800,"1224 Beverwil Dr, Los Angeles, CA 90035-1108",114 reviews,4.0,http://www.mrchotels.com/hotels/beverly-hills-los-angeles-ca/dining/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/19/e8/1b/8a/photo7jpg.jpg,34.05536600000001,-118.39855030566966
709,The Tasting Kitchen,Los Angeles,Italiano,Moderado-Alto,$$$$,+1 310-392-6644,"1633 Abbot Kinney Blvd, Los Angeles, CA 90291-3744",255 reviews,4.0,http://www.thetastingkitchen.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/18/5f/ae/8e/photo6jpg.jpg,33.98974593333333,-118.46336146666667
710,Trois Mec,Los Angeles,Italiano,Moderado-Alto,$$$$,+1 323-484-8588,"716 Highland Avenue, Los Angeles, CA",96 reviews,4.0,http://www.troismec.com/,No disponible,info@troismec.com,https://media-cdn.tripadvisor.com/media/photo-s/17/12/47/b0/photo2jpg.jpg,33.88252145,-118.40811095711398
711,Vincenti Ristorante,Los Angeles,Italiano,Moderado-Alto,$$$$,+1 310-207-0127,"11930 San Vicente Blvd, Los Angeles, CA 90049-5004",54 reviews,4.0,http://www.vincentiristorante.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/07/43/93/e6/profile-pictures-album.jpg,34.0734236,-118.3777681
712,Westwood Pizzeria,Los Angeles,Italiano,Moderado-Alto,$$$$,+1 310-443-0123,"1804 S La Cienega Blvd, Los Angeles, CA 90035-4670",2 reviews,4.0,No disponible,No disponible,westwoodpizzeria@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/21/ee/18/70/exterior.jpg,34.04433520959905,-118.37671471551803
713,Zinqué Century City,Los Angeles,Italiano,Moderado-Alto,$$$$,+1 424-204-9403,"10250 Santa Monica Blvd Suite 2790, Los Angeles, CA 90061",0 reviews,4.0,No disponible,No disponible,rachel@lezinque.com,https://media-cdn.tripadvisor.com/media/photo-o/1c/8a/ea/16/welcome-to-zinque-zin.jpg,None,None
714,A Little Taste of Hoboken,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 310-474-1109,"2323 Westwood Blvd, Los Angeles, CA 90064-2109",10 reviews,4.0,No disponible,No disponible,No disponible,No disponible,34.04178106122449,-118.43004548979592
715,A1 Italian Deli & Imported Groceries,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 310-833-4045,"348 W 8th St, Los Angeles, CA 90014-3102",3 reviews,4.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0c/ff/15/49/torpedo-sandwich.jpg,34.044049959183674,-118.2552973877551
716,AAA Foodsource,Los Angeles,Italiano,Moderado-Alto,No disponible,+(1)310) 295-1643,"16146 Leadwell St, Los Angeles, CA 91406-3424",0 reviews,4.0,No disponible,No disponible,aaafoodsourcela@gmail.com,No disponible,34.203816530612244,-118.48471228571428
717,Adrian's Trattoria,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 818-881-1846,"17709 Vanowen St, Los Angeles, CA 91335-5602",11 reviews,4.0,http://adrianstrattoria.com/,https://www.tripadvisor.com/Restaurant_Review-g32655-d468491-Reviews-Adrian_s_Trattoria-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/1a/b5/10/02/photo0jpg.jpg,34.193951,-118.5189572857143
718,Alchemist Restaurant,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 323-413-2008,"6258 Wilshire Blvd, Los Angeles, CA 90048-5104",1 review,4.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/26/45/38/d3/our-restaurant.jpg,34.06322920408163,-118.36443440816326
719,All'Angolo,Los Angeles,Italiano,Moderado-Alto,No disponible,21233687888,"4050 W 3rd St, Los Angeles, CA 90020-3131",10 reviews,4.0,http://www.allangolopizza.com/Home.html,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0b/bb/a4/6c/it-doesn-t-look-much.jpg,34.0688521,-118.3007352
720,Allegra California Café,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 424-500-2700,"4437 Sepulveda Blvd., Culver City, CA 90230",2 reviews,4.0,No disponible,No disponible,allegracaliforniacafe@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/19/dd/04/5c/salmon-aquapazza-tomatoes.jpg,34.002697467323266,-118.4066652409574
721,Amalur Project,Los Angeles,Italiano,Moderado-Alto,No disponible,No disponible,"1356 Allison Ave, Los Angeles, CA 90026-4401",0 reviews,4.0,No disponible,No disponible,No disponible,No disponible,34.073110329493865,-118.25196107009369
722,Amarone Hollywood california,Los Angeles,Italiano,Moderado-Alto,No disponible,No disponible,"8688 Hollywood Blvd, West Hollywood, CA 90069-1416",1 review,4.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/15/5c/8d/c0/california-usa.jpg,None,None
723,Ameci Pizza & Pasta,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 818-363-0484,"16858 San Fernando Mission Blvd, Los Angeles, CA 91344-4247",1 review,4.0,No disponible,No disponible,No disponible,No disponible,34.271933454545454,-118.499753
724,Angelini Ristorante & Bar,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 424-238-5870,"1038 Swarthmore Ave, Los Angeles, CA 90272-2505",0 reviews,4.0,http://www.angelinipalisades.com/,No disponible,info@angelinipalisades.com,No disponible,34.04778774184326,-118.52529678440882
725,Angelo's Ristorante Italiano,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 818-998-7728,"20539 Devonshire St, Los Angeles, CA 91311-3208",2 reviews,4.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/07/af/37/ce/ooooh-buonissimi.jpg,34.257331224489796,-118.58047973469388
726,Apollonia's Pizzeria,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 323-937-2823,"5176 Wilshire Blvd, Los Angeles, CA 90036-4303",9 reviews,4.0,http://apolloniaspizzeria.com/Apollonia_s_Pizzeria_-_Arti.html,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/14/ea/9e/62/apollonia-s-pizzeria.jpg,34.06211166666667,-118.34241833333334
727,Artisan Cheese Gallery,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 818-505-0207,"12023 Ventura Blvd Studio City, Los Angeles, CA 91604-2609",16 reviews,4.0,http://artisancheesegallery.com/,No disponible,info@artisancheesegallery.com,https://media-cdn.tripadvisor.com/media/photo-o/02/e0/5d/99/artisan-cheese-gallery.jpg,34.14378563265306,-118.39368063265306
728,Atmosphère Hookah Lounge,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 747-677-4488,"5338 Laurel Canyon Blvd, Los Angeles, CA 91607-2712",0 reviews,4.0,No disponible,No disponible,danil.lavrentev@gmail.com,No disponible,34.1679362,-118.3960242
729,Avant Garden Bistro,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 323-433-4141,"7469 Melrose Ave, Los Angeles, CA 90046-7565",1 review,4.0,No disponible,No disponible,No disponible,No disponible,34.083703,-118.3526556
730,Avenue Italy,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 310-312-6233,"11301 W Olympic Blvd Suite 116, Los Angeles, CA 90064-1653",2 reviews,4.0,http://www.avenueitaly.com/,http://www.avenueitaly.com/pages/our-menus,nimkarimi@gmail.com,No disponible,None,None
731,Bacari Silverlake,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 323-410-7304,"3626 W Sunset Blvd, Los Angeles, CA 90026-1059",1 review,4.0,No disponible,No disponible,bacarisilverlake@bacari.us,https://media-cdn.tripadvisor.com/media/photo-s/26/2d/ab/33/bacari-slk-patio.jpg,34.0901445,-118.277572
732,Baklava Factory,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 818-414-4413,"12909 Sherman Way Blvd, Los Angeles, CA",0 reviews,4.0,No disponible,No disponible,No disponible,No disponible,None,None
733,Bandit Brews,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 323-900-5110,"7274 Melrose Ave, Los Angeles, CA 90046-7667",0 reviews,4.0,http://banditbrews.com/,No disponible,orders@banditbrews.com,No disponible,34.083436000000006,-118.34804650000001
734,Bar Clara,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 213-358-0000,"649 S. Olive Street., Los Angeles, CA 90014",2 reviews,4.0,http://barclaradtla.com/,No disponible,barclara@hotelperla.com,https://media-cdn.tripadvisor.com/media/photo-s/25/46/24/e9/bar-clara.jpg,34.046847,-118.255517
735,Bar Moruno,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 323-546-0505,"3705 W Sunset Blvd, Los Angeles, CA 90026-1527",1 review,4.0,No disponible,No disponible,info@intenttodine.com,No disponible,34.090645442945345,-118.27784490219202
736,BARBERSHOP Ristorante Italiano,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 424-272-5849,"8022 W 3rd St, Los Angeles, CA 90048-4307",0 reviews,4.0,http://barbershop-venice.com/,No disponible,No disponible,No disponible,34.07191,-118.364903
737,Barbette Bar and Bistro,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 323-850-8888,"7511 Santa Monica Blvd, West Hollywood, CA 90046-6406",1 review,4.0,No disponible,No disponible,No disponible,No disponible,34.09084266666667,-118.35300977777779
738,Barrio,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 323-685-5411,"4011 City Terrace Dr, Los Angeles, CA 90063-1203",0 reviews,4.0,http://barriolosangeles.net/,No disponible,No disponible,No disponible,34.05578228571429,-118.17861500000001
739,Beignet Box,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 818-856-8556,"12256 Ventura Blvd, Los Angeles, CA 91604-2518",1 review,4.0,No disponible,No disponible,info@shopbeignetbox.com,https://media-cdn.tripadvisor.com/media/photo-s/21/66/45/da/the-most-delicious-beignets.jpg,34.14309035743183,-118.39967366877332
740,Beignet Box At Glendale Americana,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 818-856-8556,"889 Americana Way Kioske, Glendale, CA 91210-1555",1 review,4.0,No disponible,No disponible,info@shopbeignetbox.com,https://media-cdn.tripadvisor.com/media/photo-s/21/68/f5/56/beignet-box-at-glendale.jpg,None,None
741,Bella Roma SPQR,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 310-277-7662,"1509 S Robertson Blvd, Los Angeles, CA 90035-4231",10 reviews,4.0,https://www.facebook.com/trattoriabellaroma/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/09/29/57/4f/bella-roma-spqr.jpg,34.051932384615384,-118.38422192307692
742,Big Mama's & Papa's Pizzeria - Northridge,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 818-773-8833,"8323 Reseda Blvd, Northridge, Los Angeles, CA 91324",2 reviews,4.0,https://northridgeca.bmpp.com/zgrid/proc/site/sitep.jsp,http://www.bigmamaspizza.com/menu/pizzas/,No disponible,No disponible,34.22125388888889,-118.53617811111111
743,Bike Shed Moto Co.,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 213-465-7661,"1580 Industrial St, Los Angeles, CA 90021-1218",4 reviews,4.0,No disponible,No disponible,info@thebikeshed.cc,https://media-cdn.tripadvisor.com/media/photo-s/25/15/7f/29/main-bar.jpg,34.03595788590604,-118.23737776510067
744,Blackbird Pizza Shop,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 323-424-7184,"7459 Melrose Ave, Los Angeles, CA 90046-7525",2 reviews,4.0,http://www.blackbirdpizzashopla.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/19/12/00/a1/birds-pizza-shop-friendly.jpg,34.0837,-118.3525158
745,Bodegon No. 69,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 626-421-6180,"69 N Raymond Ave, Pasadena, CA 91103-3919",2 reviews,4.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/25/0d/d8/ea/peruvian-kitchen.jpg,34.14706075,-118.14900474999999
746,Bonello's New York Pizza,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 310-832-7544,"832 S Gaffey St, Los Angeles, CA 90731-3613",9 reviews,4.0,https://bonellosnypizza.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/05/c3/53/1d/mmm-good-the-special.jpg,33.736618489795916,-118.29223730612246
747,Brooklyn Pizzeria & Italian FD,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 818-344-2473,"6745 Tampa Ave, Los Angeles, CA 91335-5015",3 reviews,4.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0e/65/39/9c/brooklyn-pizzeria-italian.jpg,34.2006694,-118.553532
748,Brothers Meatballs,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 323-672-8011,"6268 W Sunset Blvd, Los Angeles, CA 90028-8725",1 review,4.0,No disponible,No disponible,No disponible,No disponible,34.097918,-118.32564171428571
749,Buono's Pizzeria,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 310-547-0655,"222 W 6th St, Los Angeles, CA 90014-1802",3 reviews,4.0,http://buonospizza.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/1c/3b/c1/65/buono-s-pizzeria.jpg,34.046017285714285,-118.25121912244899
750,Buzz Wine Beer Shop,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 213-622-2222,"460 S Spring St Unit C, Los Angeles, CA 90013-2005",13 reviews,4.0,No disponible,No disponible,service@buzzwinebeeronline.com,https://media-cdn.tripadvisor.com/media/photo-s/03/1b/e2/a1/buzz-wine-beer-shop.jpg,None,None
751,Byblos Restaurant,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 310-475-9558,"1964 Westwood Blvd Ste 1, Los Angeles, CA 90025-4651",4 reviews,4.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/26/b4/ab/a1/byblos-restaurant.jpg,None,None
752,Ca Brea,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 323-938-2863,"3900 Wilshire Blvd, Los Angeles, CA 90010-3303",0 reviews,4.0,http://cabreala.com/,No disponible,No disponible,No disponible,34.0612042,-118.3113352
753,Café Basque,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 213-725-5900,"1060 S Broadway, Los Angeles, CA 90015-4005",2 reviews,4.0,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32655-d25016307-Reviews-Cafe_Basque-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/27/8e/d7/b1/calamari.jpg,34.04008008155078,-118.25826898154766
754,Cafe of Paris,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 323-653-0513,"6399 Wilshire Blvd, Los Angeles, CA 90048-5703",1 review,4.0,No disponible,No disponible,No disponible,No disponible,34.06413405,-118.36803437380851
755,Cafe X2o,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 626-460-6400,"818 Fair Oaks Ave, South Pasadena, CA 91030-2606",6 reviews,4.0,http://www.cafex2o.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/12/ac/86/21/good-food.jpg,34.11630114086389,-118.15024122782616
756,Caffe Capri,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 323-644-7906,"2547 Hyperion Ave, Los Angeles, CA 90027-3316",1 review,4.0,No disponible,No disponible,No disponible,No disponible,34.1055273,-118.2729769
757,Carasau Ristorante,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 310-876-0058,"3918 Van Buren Pl, Culver City, CA 90232-2826",2 reviews,4.0,https://carasauristorante.com/,https://carasauristorante.com/culver-city-carasau-food-menu,info@carasauristorante.com,https://media-cdn.tripadvisor.com/media/photo-w/21/59/f8/4a/fregola-salad-is-also.jpg,34.02353625,-118.393693
758,Carnitas Martinez,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 323-752-4632,"718 E 87th St, Los Angeles, CA 90002-1016",0 reviews,4.0,No disponible,No disponible,No disponible,No disponible,33.9591515483871,-118.2625963548387
759,Caruso's Italian Kitchen,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 818-273-4987,"10504 Mount Gleason Ave Tujunga, Los Angeles, CA 91042-1663",5 reviews,4.0,http://carusositaliantujunga.com/,https://carusositaliantujunga.clorder.com/ordermenu.aspx,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/1a/da/e6/58/caruso-s-italian-kitchen.jpg,34.2532796,-118.3026644
760,Caruso's Italian Kitchen Bar & Grill,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 818-217-4017,"10152 Balboa Blvd, Los Angeles, CA 91344-7401",1 review,4.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/23/34/83/6e/caruso-s-italian-kitchen.jpg,34.254898942545196,-118.50226088564254
761,Catcher in the Rye,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 818-554-3393,"10550 Riverside Dr, Los Angeles, CA 91602-2441",5 reviews,4.0,No disponible,No disponible,No disponible,No disponible,34.152116827586205,-118.36067193103449
762,Cava,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 323-230-5027,"9343 Culver Blvd, Culver City, CA 90232",4 reviews,4.0,No disponible,No disponible,hello@cava.com,No disponible,34.02465192036502,-118.39360249850496
763,Cento Pasta Bar,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 213-489-0131,"128 E 6th St, Los Angeles, CA 90014-2006",0 reviews,4.0,https://centopasta.com/about.html,No disponible,No disponible,No disponible,34.044984285714285,-118.24967757142858
764,Chef’s not here,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 323-272-4681,"8457 Melrose Ave Rooftop West Hollywood, Los Angeles, CA 90069-5305",1 review,4.0,No disponible,No disponible,info@chefsnothere.com,https://media-cdn.tripadvisor.com/media/photo-p/12/39/c6/6f/photo0jpg.jpg,None,None
765,Chez Moi,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 323-653-3779,"8420 W 3rd St, Los Angeles, CA 90048-4112",1 review,4.0,No disponible,No disponible,No disponible,No disponible,34.07299266666667,-118.37372488888889
766,Claros Italian Market,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 626-288-2026,"1003 E Valley Blvd, San Gabriel, CA 91776-3609",11 reviews,4.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0c/81/29/bb/claro-s-italian-market.jpg,34.08043081634607,-118.08620030548335
767,Coco Queen,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 424-249-3240,"8700 Santa Monica Blvd, West Hollywood, CA 90069-4508",5 reviews,4.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/18/33/6c/12/photo0jpg.jpg,34.0872959,-118.3799243
768,Colorado Wine Company,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 323-478-1985,"2305 Colorado Blvd, Los Angeles, CA 90041-1144",0 reviews,4.0,No disponible,No disponible,No disponible,No disponible,34.139628333333334,-118.21648808333333
769,Coop NY Style Pizza,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 310-837-4462,"10006 National Blvd, Los Angeles, CA 90034-3809",6 reviews,4.0,No disponible,No disponible,No disponible,No disponible,34.0289652,-118.4034146
770,Corsica Italian Delicatessen,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 818-352-7213,"8111 Foothill Blvd, Los Angeles, CA 91040-2940",3 reviews,4.0,No disponible,No disponible,No disponible,No disponible,34.259740862068966,-118.3094601724138
771,Covell's Wine Bar,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 323-660-4400,"4628 Hollywood Blvd, Los Angeles, CA 90027-5408",5 reviews,4.0,No disponible,No disponible,No disponible,No disponible,34.0999488,-118.2901366
772,Crispy Crust,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 323-661-3111,"3111 Glendale Blvd, Los Angeles, CA 90039-1841",0 reviews,4.0,https://www.facebook.com/crispycrustglendale/,https://www.tripadvisor.com/Restaurant_Review-g32655-d3833974-Reviews-Crispy_Crust-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/18/03/ea/bd/house-special.jpg,34.1163899,-118.2630035
773,Crispy Crust Pizza,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 323-467-2000,"1253 Vine St Site 6A, Los Angeles, CA 90038-1662",7 reviews,4.0,https://www.facebook.com/crispycrusthollywood/?rf=630005257099437,https://www.tripadvisor.com/Restaurant_Review-g32655-d3836462-Reviews-Crispy_Crust_Pizza-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/18/03/db/b9/house-special-pizza.jpg,None,None
774,D'Amore's Pizza,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 323-951-0070,"8369 W 3rd St, Lake Los Angeles, CA 90048-4312",6 reviews,4.0,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32599-d2670745-Reviews-D_Amore_s_Pizza-Lake_Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/14/6c/3a/08/photo0jpg.jpg,None,None
775,D'Amore's Pizza,Los Angeles,Italiano,Moderado-Alto,No disponible,+1 818-905-3377,"18663 Ventura Blvd Ste 130, Los Angeles, CA 91356-4162",9 reviews,4.0,https://www.damorespizza.com/,https://www.damorespizza.com/menus,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/08/74/16/38/d-amore-s-pizza.jpg,None,None
