Restaurante,Ciudad,Categoría,Precio_Conver,Precio,Teléfono,Dirección,Reseñas,Valoración,Web,Menú,Email,Imagen
Piccolo Paradiso,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-271-0030,"150 S Beverly Dr, Beverly Hills, CA 90212-3003",323 reviews,4.5,http://www.giacominodrago.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/03/0b/11/58/piccolo-paradiso.jpg
Pina Pizza House,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 562-923-4411,"11102 Paramount Blvd, Downey, CA 90241-4225",24 reviews,4.0,http://www.facebook.com/pinapizzahouse/,No disponible,No disponible,No disponible
Pinocchio Italian Restaurant,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-845-3516,"3103 W Magnolia Blvd, Burbank, CA 91505-3046",149 reviews,4.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/07/bd/2d/19/ice-cream-and-gelletto.jpg
Pinocchio's Pizza,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 626-791-7591,"1449 N Lake Ave, Pasadena, CA 91104-2302",25 reviews,3.5,http://www.pinocchios-pizza.net/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/08/d8/c5/c2/photo0jpg.jpg
Pips on La Brea,Los Angeles,Vinoteca,Moderado-Alto,$$ - $$$,+1 323-954-7477,"1356 S La Brea Ave, Los Angeles, CA 90019-2915",39 reviews,4.5,No disponible,No disponible,pipslabrea@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/08/27/bf/89/pips-on-la-brea.jpg
Pita Kitchen,Los Angeles,Mediterráneo,Moderado-Alto,$$ - $$$,+1 323-936-2460,"6256 Wilshire Blvd, Los Angeles, CA 90048-5104",1 review,2.0,No disponible,No disponible,No disponible,No disponible
Pitchoun!,Los Angeles,Francés,Moderado-Alto,$$ - $$$,+1 323-381-5328,"8500 Beverly Blvd Suite 103, Los Angeles, CA 90048-6201",11 reviews,5.0,http://www.pitchounbakery.com/,http://www.pitchounbakery.com/menus/,beverly@pitchounbakery.com,https://media-cdn.tripadvisor.com/media/photo-p/14/32/7b/b8/new-artisan-french-bakery.jpg
Pitfire Artisan Pizza,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-980-2949,"5211 Lankershim Blvd, Los Angeles, CA 91601-3110",54 reviews,4.0,http://www.pitfirepizza.com/home,http://www.pitfirepizza.com/documents/Pitfire_Summer_Menu_2019.pdf,listening@pitfirepizza.com,https://media-cdn.tripadvisor.com/media/photo-w/1d/51/8e/31/spaghetti-and-chicken.jpg
Pitfire Pizza Company,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-481-9860,"2018 Westwood Blvd, Los Angeles, CA 90025-6329",35 reviews,4.0,http://www.pitfirepizza.com/home,https://www.tripadvisor.com/Restaurant_Review-g32655-d968440-Reviews-Pitfire_Pizza_Company-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/17/dc/9c/f0/margherita-pizza-with.jpg
Pizza Boy,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-247-5555,"1321 E Colorado St Ste C, Glendale, CA 91205-4003",7 reviews,4.5,https://www.pizzaboy.us/,https://www.pizzaboy.us/menu,contact@pizzaboy.us,https://media-cdn.tripadvisor.com/media/photo-p/1b/50/12/69/fresh-gluten-free-dough.jpg
Pizza Cookery,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-363-7705,"10371 Balboa Blvd, Los Angeles, CA 91344-7318",12 reviews,3.5,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32655-d538429-Reviews-Pizza_Cookery-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-o/12/30/3a/9e/we-ordered-a-pizza-with.jpg
Pizza Cookery,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-345-6144,"17976 Ventura Blvd, Los Angeles, CA 91316-3632",19 reviews,3.5,http://www.pizzacookeryencino.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/07/e6/6f/86/pizza-cookery.jpg
Pizza Moon,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-733-2222,"2619 S Western Ave, Los Angeles, CA 90018-2628",2 reviews,5.0,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32655-d4230745-Reviews-Pizza_Moon-Los_Angeles_California.html#,pizzamoon2619@gmail.com,https://media-cdn.tripadvisor.com/media/photo-p/10/62/e4/96/spaghetti-with-meatballs.jpg
Pizza of Venice,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 626-765-9636,"2545 Fair Oaks Ave, Altadena, CA 91001-5046",36 reviews,4.5,http://www.pizzaofvenice.com/,http://www.pizzaofvenice.com/menu,jamiewoolner@gmail.com,https://media-cdn.tripadvisor.com/media/photo-p/08/d1/99/41/pizza-of-venice.jpg
Pizza Show,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-973-9066,"13344 Hawthorne Blvd, Hawthorne, CA 90250-5805",34 reviews,4.5,http://www.pizza-show.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0c/33/d4/cf/back-room-of-pizza-show.jpg
Pizzaholic,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-890-4444,"10750 Glenoaks Blvd Ste 3, Los Angeles, CA 91331-1690",0 reviews,No disponible,http://pizzaholic.net/,https://www.pizzaholic.net/order-online/kids-menu.html,info@pizzaholic.net,https://media-cdn.tripadvisor.com/media/photo-p/14/02/21/22/mexicali-pizza.jpg
Pizzamania,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 562-944-8803,"13547 Telegraph Rd, Whittier, CA 90605-3438",114 reviews,4.5,http://www.pizzamaniawhittier.com/index.html,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0f/8b/c4/b6/photo0jpg.jpg
Pizzana,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-481-7108,"11712 San Vicente Blvd, Los Angeles, CA 90049-5006",64 reviews,4.5,http://www.pizzana.com/,https://pizzana.com/menu/,eat@pizzana.com,https://media-cdn.tripadvisor.com/media/photo-s/10/43/18/8b/17-endoedibles-on-instagram.jpg
Pizzeria Il Fico,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-271-3426,"310 S Robertson Blvd, Los Angeles, CA 90048-3806",106 reviews,4.5,http://fico-takeout.com/,https://fico-takeout.com/,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/06/00/d7/e9/pizzeria-il-fico.jpg
Pizzeria Vivoli & Italian Grill,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-656-5050,"7994 W Sunset Blvd, West Hollywood, CA 90046-3307",52 reviews,4.0,http://www.pizzeriavivoli.com/,No disponible,donato@vivolicafe.com,https://media-cdn.tripadvisor.com/media/photo-p/13/63/af/b4/photo0jpg.jpg
Pizzicotto,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-442-7188,"11758 San Vicente Blvd, Los Angeles, CA 90049-5010",98 reviews,4.5,http://www.pizzicottorestaurant.com/,https://www.tripadvisor.com/Restaurant_Review-g32655-d348189-Reviews-Pizzicotto-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/13/0a/33/f7/pizzicotto.jpg
Playa's Pita,Los Angeles,Mediterráneo,Moderado-Alto,$$ - $$$,+1 310-822-7733,"8501 Pershing Dr # 4, Los Angeles, CA 90293-8101",13 reviews,4.0,http://playaspita.com/,No disponible,playaspita@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/18/d8/de/ec/photo4jpg.jpg
Polka,Los Angeles,Polaco,Moderado-Alto,$$ - $$$,+1 323-255-7887,"4112 Verdugo Rd, Los Angeles, CA 90065-3821",68 reviews,4.0,http://www.polkarestaurant.com/,https://www.tripadvisor.com/Restaurant_Review-g32655-d338891-Reviews-Polka-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0f/ac/54/db/photo0jpg.jpg
Pomodoro Trattoria - Pizzeria,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-445-9998,"1393 Westwood Blvd, Los Angeles, CA 90024-4940",86 reviews,4.5,http://www.pomodorowestwood.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/17/c5/0b/8d/restaurant-interior.jpg
Ponsonby Road Cafe,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 424-302-0103,"361 N La Cienega Blvd, Los Angeles, CA 90048-1924",4 reviews,5.0,http://ponsonbyroadcafe.com/,http://ponsonbyroadcafe.com/#menu,Ponsonbyroadcafe@gmail.com,https://media-cdn.tripadvisor.com/media/photo-p/1c/da/02/d3/photo0jpg.jpg
Porta Via Italian Foods,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 626-793-9000,"1 W California Blvd, Pasadena, CA 91105-3029",23 reviews,4.5,http://portaviafoods.com/pv/portavia.php,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/12/1c/d1/b8/porta-via-italian-foods.jpg
Portobello's Cuisine,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-957-7524,"2235 Honolulu Ave, Montrose, CA 91020-1635",35 reviews,4.5,http://www.portobellosmontrose.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/21/6c/c1/85/caption.jpg
Pozi's Fresh Grill,Los Angeles,Mediterráneo,Moderado-Alto,$$ - $$$,+1 818-564-7455,"18663 Ventura Blvd, Los Angeles, CA 91356-4162",8 reviews,4.5,http://www.pozisfreshgrill.com/,http://www.pozisfreshgrill.com/menu/,No disponible,No disponible
Prosecco Trattoria,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-505-0930,"10144 Riverside Dr, Los Angeles, CA 91602-2532",92 reviews,4.5,http://proseccotrattoria.com/,https://www.tripadvisor.com/Restaurant_Review-g32655-d378523-Reviews-Prosecco_Trattoria-Los_Angeles_California.html#,eric.prosecco@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/0e/66/db/fd/faralla.jpg
Pura Vita,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-688-2303,"8274 Santa Monica Blvd, West Hollywood, CA 90046-5915",11 reviews,4.5,http://puravitalosangeles.com/,https://puravitalosangeles.com/menu/,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/1a/7a/53/2a/mmexport1578035775686.jpg
Raffaello Ristorante,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-514-0900,"400 S Pacific Ave, Los Angeles, CA 90731-2626",279 reviews,4.5,http://www.raffaelloristorante.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/1b/86/67/f0/photo0jpg.jpg
Raffi's Place Restaurant,Los Angeles,Mediterráneo,Moderado-Alto,$$ - $$$,+1 818-240-7411,"211 E Broadway, Glendale, CA 91205-1008",438 reviews,4.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0b/64/4e/ca/raffi-s-place-restaurant.jpg
Rainbow Acres,Los Angeles,Mercado de alimentos especializado,Moderado-Alto,$$ - $$$,+1 310-306-8330,"13208 W Washington Blvd, Los Angeles, CA 90066-5106",19 reviews,4.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/08/43/8f/69/rainbow-acres.jpg
Rao's,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-962-7267,"1006 Seward St, Los Angeles, CA 90038-2521",108 reviews,4.5,http://www.raoshollywood.com/,No disponible,Phickey@raosla.com,https://media-cdn.tripadvisor.com/media/photo-s/0e/9c/8b/f9/fresh-pasta.jpg
Ray's and Stark Bar,Los Angeles,Vinoteca,Moderado-Alto,$$ - $$$,+1 323-857-6180,"5905 Wilshire Blvd, Los Angeles, CA 90036-4504",203 reviews,4.0,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32655-d2058338-Reviews-Ray_s_and_Stark_Bar-Los_Angeles_California.html#,info@patinagroup.com,https://media-cdn.tripadvisor.com/media/photo-s/10/39/ca/45/melon-salad.jpg
Red Lion Tavern,Los Angeles,Alemán,Moderado-Alto,$$ - $$$,+1 323-662-5337,"2366 Glendale Blvd, Los Angeles, CA 90039-3209",96 reviews,4.0,http://www.redliontavern.net/,https://www.tripadvisor.com/Restaurant_Review-g32655-d491654-Reviews-Red_Lion_Tavern-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/05/e1/ac/e7/red-lion-tavern.jpg
Red Moon Restaurant & Lounge,Los Angeles,Mediterráneo,Moderado-Alto,$$ - $$$,+1 818-755-4500,"12516 Riverside Dr, Los Angeles, CA 91607-3409",10 reviews,4.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0c/a8/e6/19/photo0jpg.jpg
Relais De Paris,Los Angeles,Francés,Moderado-Alto,$$ - $$$,+1 310-289-8500,"8635 Wilshire Blvd Wilshire boulevard / Carson road, Beverly Hills, CA 90211-3001",3 reviews,4.0,No disponible,No disponible,info@relaisdeparisbh.com,No disponible
Reno's Pizzeria,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-843-8550,"4006 W Riverside Dr, Burbank, CA 91505-4328",44 reviews,4.5,No disponible,No disponible,renospizzeria@gmail.com,https://media-cdn.tripadvisor.com/media/photo-p/1c/64/25/56/small-pizza.jpg
Reno's Pizzeria & Restaurant,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-763-1088,"11412 Ventura Blvd, Los Angeles, CA 91604-3142",26 reviews,4.5,https://renospizzala.com/index.php?,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/10/eb/6b/ab/photo1jpg.jpg
Roberta’s,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 718-417-1118,"8810 Washington Blvd, Culver City, CA 90232-2386",16 reviews,3.5,No disponible,No disponible,la.info@robertaspizza.com,https://media-cdn.tripadvisor.com/media/photo-p/1b/05/2f/f3/photo0jpg.jpg
Rocco's Tavern,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 626-795-6810,"44 W Green St, Pasadena, CA 91105-2008",30 reviews,4.0,http://roccostavernla.com/,http://roccostavern.com/lunch-menu,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/1c/a5/ce/d2/photo0jpg.jpg
Rock & Reilly's,Los Angeles,Gastropub,Moderado-Alto,$$ - $$$,+1 310-360-1400,"8911 Sunset Blvd, West Hollywood, CA 90069",53 reviews,4.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/1a/dd/61/fb/not-your-average-irish.jpg
Romeo's Pizza,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 626-795-4591,"2700 E Colorado Blvd, Pasadena, CA 91107-4368",10 reviews,4.5,http://www.romeos-pizzeria.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/07/ea/99/c2/great-pizzapasadena-s.jpg
Sadaf Restaurant,Los Angeles,Mediterráneo,Moderado-Alto,$$ - $$$,+1 818-981-8100,"16240 Ventura Blvd, Los Angeles, CA 91436-2202",30 reviews,4.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/1d/29/de/42/sadaf-salad-with-shrimp.jpg
Saint Felix,Los Angeles,Gastropub,Moderado-Alto,$$ - $$$,+1 323-469-5001,"1602 N Cahuenga Blvd, Los Angeles, CA 90028-6202",41 reviews,4.5,No disponible,No disponible,saintfelix.libertine@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1b/b2/31/96/award-winning-signature.jpg
Salvatore Italian Restaurant,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-727-2803,"125 N 6th St, Montebello, CA 90640-5257",45 reviews,4.5,http://www.salvatorerestaurant.com/,https://salvatoreitalian.com/menu/,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/11/23/b7/f0/salvatore-italian-restaurant.jpg
San Antonio Winery,Los Angeles,Vinoteca,Moderado-Alto,$$ - $$$,+1 323-223-1401,"737 Lamar St, Los Angeles, CA 90031-2514",87 reviews,4.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/1a/47/95/ce/photo2jpg.jpg
San Carlo Italian Deli,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-727-0890,"10178 Mason Ave, Los Angeles, CA 91311-3301",28 reviews,5.0,http://www.sancarlodeli.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/10/78/ca/10/outside-view.jpg
Santuari Restaurant,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-902-9700,"6711 Forest Lawn Dr Same building as The Toluca Lake Tennis & Fitness Club, Los Angeles, CA 90068-1046",14 reviews,4.5,http://www.santuarirestaurant.com/,https://santuarirestaurant.com/menu,info@santuarirestaurant.com,https://media-cdn.tripadvisor.com/media/photo-s/15/41/92/25/our-main-dining-room.jpg
Sara the Wine Bar,Los Angeles,Vinoteca,Moderado-Alto,$$ - $$$,+1 310-313-5522,"3936 Sepulveda Blvd, Culver City, CA 90230-4608",19 reviews,4.5,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32272-d10412339-Reviews-Sara_the_Wine_Bar-Culver_City_California.html#,info@sarathewinebar.com,https://media-cdn.tripadvisor.com/media/photo-s/0e/3f/10/fe/avocado-bruschetta.jpg
Scarantino's Italian Inn,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-247-9777,"1524 E Colorado St, Glendale, CA 91205-1514",65 reviews,4.0,http://www.scarantinos.com/,No disponible,info@scarantinos.com,https://media-cdn.tripadvisor.com/media/photo-s/19/6b/52/c3/inside-the-restaurant.jpg
Schreiner's Fine Sausages,Los Angeles,Mercado de alimentos especializado,Moderado-Alto,$$ - $$$,+1 818-244-4735,"3417 Ocean View Blvd, Glendale, CA 91208-1508",23 reviews,4.5,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32431-d4711091-Reviews-Schreiner_s_Fine_Sausages-Glendale_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0f/99/c0/c5/schreiner-s.jpg
Scopa Italian Roots,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-821-1100,"2905 Washington Blvd, Los Angeles, CA 90292-5546",198 reviews,4.5,http://www.scopaitalianroots.com/,No disponible,reservations@scopaitalianroots.com,https://media-cdn.tripadvisor.com/media/photo-p/07/94/08/56/scopa-italian-roots.jpg
Settebello,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 626-765-9550,"625 E Colorado Blvd, Pasadena, CA 91101-2005",148 reviews,4.5,http://settebello.net/,No disponible,info@settebello.net,https://media-cdn.tripadvisor.com/media/photo-s/1b/14/cd/27/settebello-pizzeria-napoletana.jpg
Shekarchi Bar & Grill,Los Angeles,Mediterráneo,Moderado-Alto,$$ - $$$,+1 213-892-8535,"920 S Olive St, Los Angeles, CA 90015-1604",5 reviews,5.0,https://shekarchirestaurant.com/,https://shekarchirestaurant.com/menu,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/16/28/d8/d4/great-atmosphere-and.jpg
Simmzy's,Los Angeles,Gastropub,Moderado-Alto,$$ - $$$,+1 310-546-1201,"229 Manhattan Beach Blvd, Manhattan Beach, CA 90266-5314",346 reviews,4.5,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32678-d1631001-Reviews-Simmzy_s-Manhattan_Beach_California.html#,michaelv@simmzys.com,https://media-cdn.tripadvisor.com/media/photo-s/03/ca/48/82/simmzy-s.jpg
Simon's Cafe,Los Angeles,Mediterráneo,Moderado-Alto,$$ - $$$,+1 818-783-6698,"4515 Sepulveda Blvd, Los Angeles, CA 91403-4047",18 reviews,4.5,http://www.simonscafe.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/06/f1/5b/87/simon-s-cafe.jpg
Simonette,Los Angeles,Francés,Moderado-Alto,$$ - $$$,+1 424-321-8000,"3927 Van Buren Pl Located downstairs at Palihotel, Culver City, CA 90232-2825",16 reviews,4.5,No disponible,No disponible,events@palihotelculvercity.com,https://media-cdn.tripadvisor.com/media/photo-s/1d/b4/9a/be/bar-area.jpg
Skaf's Grill,Los Angeles,Mediterráneo,Moderado-Alto,$$ - $$$,+1 818-985-5701,"6008 Laurel Canyon Blvd, Los Angeles, CA 91606-4657",18 reviews,5.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/05/a9/a7/e4/a-tiny-place-with-great.jpg
Skaf's Lebanese Cuisine,Los Angeles,Mediterráneo,Moderado-Alto,$$ - $$$,+1 818-551-5540,"367 N Chevy Chase Dr Ste A, Glendale, CA 91206-6030",47 reviews,4.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/13/fa/98/a8/combo-grill-kafta-chicken.jpg
Skylight Gardens,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-824-1818,"1139 Glendon Ave, Los Angeles, CA 90024-3501",116 reviews,4.0,http://skylightgardens.com/,https://static1.squarespace.com/static/54864600e4b0e13bf0bdf692/t/5da21d12fe2f655194947ba8/1570905362858/Dinner_Fall_2019-5.pdf,info@skylightgardens.com,https://media-cdn.tripadvisor.com/media/photo-s/18/87/66/1c/guacamole.jpg
Smeraldi's,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 213-612-1562,"506 S Grand Ave, Los Angeles, CA 90071-2602",95 reviews,4.0,http://www.millenniumhotels.com/en/los-angeles/millennium-biltmore-hotel-los-angeles/#dining,No disponible,us.biltmore@millenniumhotels.com,https://media-cdn.tripadvisor.com/media/photo-s/0f/47/c6/97/smeraldi-s.jpg
Sor Tino,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-442-8466,"908 S Barrington Ave, Los Angeles, CA 90049-5504",39 reviews,4.0,http://www.sortinorestaurant.com/index.html,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0b/9c/b1/ec/chicken-salad.jpg
Sorrento's Pizza House,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-547-5129,"2428 S Western Ave, Los Angeles, CA 90732-4334",28 reviews,4.5,https://www.sorrentositalian.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0f/59/a0/14/photo0jpg.jpg
Sorriso Ristorante and Martini Bar,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 626-793-2233,"46 E Colorado Blvd, Pasadena, CA 91105-1902",48 reviews,3.5,http://www.sorrisopasadena.com/ourmenu.htm,http://www.sorrisopasadena.com/ourmenu.htm,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/09/93/ff/a1/sorriso-ristorante-and.jpg
SOTTA,Los Angeles,Mediterráneo,Moderado-Alto,$$ - $$$,+1 818-309-2333,"2009 W Alameda Ave, Burbank, CA 91506-2932",16 reviews,4.5,http://sottala.com/,http://sottala.com/menu/,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/12/24/7a/c2/sotta.jpg
South End,Los Angeles,Vinoteca,Moderado-Alto,$$ - $$$,+1 424-228-4736,"2805 Abbot Kinney Blvd, Los Angeles, CA 90291-6722",65 reviews,4.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/13/57/d4/a3/about-to-bake.jpg
Spartina,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-782-1023,"7505 Melrose Ave, Los Angeles, CA 90046-7417",52 reviews,4.0,http://www.spartina.la/,https://www.spartina.la/#menu-section,spartina@spartina.la,https://media-cdn.tripadvisor.com/media/photo-s/27/a3/05/5d/meals-like-these-are.jpg
Speranza,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-644-1918,"2547 Hyperion Ave, Los Angeles, CA 90027-3316",41 reviews,3.5,http://www.speranza.la/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/17/bb/8f/11/photo0jpg.jpg
Spoon House,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-538-0376,"1601 W Redondo Beach Blvd, Gardena, CA 90247-3243",35 reviews,4.0,http://losangeles.menupages.com/restaurants/spoon-house,https://menupages.com/,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/06/55/57/cc/seafood-pasta-n5-on-the.jpg
Spread Mediterranean Kitchen,Los Angeles,Mediterráneo,Moderado-Alto,$$ - $$$,+1 213-537-0284,"334 S Main St, Los Angeles, CA 90013-1357",12 reviews,4.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/0d/b0/db/5f/falafel-salad-bowl-with.jpg
Spumante Restaurant,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-508-7716,"11049 Magnolia Blvd Ste 107 North Hollywood, Los Angeles, CA 91601-5658",60 reviews,4.5,http://www.spumanterestaurant.com/,https://www.tripadvisor.com/Restaurant_Review-g32655-d1439506-Reviews-Spumante_Restaurant-Los_Angeles_California.html#,Spumanteincjoe@aol.com,https://media-cdn.tripadvisor.com/media/photo-s/17/ff/fe/85/spumante-bar.jpg
Spumoni Restaurant,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-981-7218,"14533 Ventura Blvd, Los Angeles, CA 91403-3772",30 reviews,4.5,http://spumonishermanoaks.com/,https://www.tripadvisor.com/Restaurant_Review-g32655-d360583-Reviews-Spumoni_Restaurant-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/12/11/e7/68/photo4jpg.jpg
Star Cafe,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-957-7827,"2217 Honolulu Ave, Montrose, CA 91020-1616",57 reviews,4.0,http://www.starcafemontrose.com/?fbclid=IwAR0brGklhxjQC3S0tZGjtTJwR4ppp_7bS0S4pPYmYXep4p07kyewpCtvie8,https://www.tripadvisor.com/Restaurant_Review-g32740-d375583-Reviews-Star_Cafe-Montrose_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/19/2e/b6/df/star-cafe.jpg
Stella Barra Hollywood,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-301-4001,"6372 W Sunset Blvd, Los Angeles, CA 90028-7323",95 reviews,4.5,http://www.stellabarra.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/10/94/9e/6d/stella-barra-hollywood.jpg
Stoney Point Restaurant,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 626-449-9715,"1460 W Colorado Blvd, Pasadena, CA 91105-1414",52 reviews,4.5,http://www.stoneypointrestaurant.com/,https://www.tripadvisor.com/Restaurant_Review-g32859-d359049-Reviews-Stoney_Point_Restaurant-Pasadena_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/02/e3/25/6c/yummy-cheese-cake-with.jpg
Strada Eateria & Coffee,Los Angeles,Europeo,Moderado-Alto,$$ - $$$,+1 213-822-4558,"119 E 5th St, Los Angeles, CA 90015-1301",9 reviews,5.0,http://www.stradadtla.com/,No disponible,Hello@stradadtla.com,https://media-cdn.tripadvisor.com/media/photo-s/15/ab/e3/ee/owner-cooking-turkish.jpg
Stuffed Sandwich,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 626-285-9161,"1145 E Las Tunas Dr, San Gabriel, CA 91776-1743",21 reviews,4.0,https://stuffedsandwich.com/,No disponible,stuffedsandwich@hotmail.com,https://media-cdn.tripadvisor.com/media/photo-s/0e/41/36/ae/20170125-154346-largejpg.jpg
